iter	Passed	Remaining
0	8	8670
1	9	4780
2	10	3493
3	11	2790
4	11	2362
5	12	2027
6	12	1826
7	13	1680
8	14	1594
9	15	1511
10	15	1424
11	16	1350
12	17	1294
13	17	1240
14	17	1180
15	18	1138
16	19	1109
17	19	1075
18	20	1071
19	21	1066
20	22	1041
21	22	1018
22	23	997
23	24	995
24	25	982
25	25	962
26	26	960
27	27	945
28	27	936
29	28	927
30	29	926
31	30	927
32	31	919
33	31	907
34	32	895
35	33	884
36	33	874
37	34	861
38	34	852
39	35	841
40	35	833
41	36	825
42	36	816
43	37	811
44	37	804
45	38	798
46	39	791
47	39	785
48	40	781
49	41	779
50	41	781
51	42	780
52	43	773
53	43	767
54	44	762
55	44	757
56	45	758
57	46	758
58	47	752
59	48	753
60	48	750
61	49	747
62	49	742
63	50	734
64	50	726
65	51	728
66	52	726
67	52	725
68	53	722
69	54	717
70	54	714
71	55	712
72	55	710
73	56	708
74	56	701
75	57	702
76	58	700
77	58	695
78	59	696
79	60	694
80	61	694
81	61	691
82	62	686
83	62	682
84	62	676
85	63	674
86	64	671
87	65	674
88	65	673
89	66	674
90	67	676
91	68	673
92	68	671
93	69	666
94	69	664
95	70	666
96	71	662
97	71	660
98	72	658
99	73	659
100	73	656
101	74	653
102	74	652
103	75	647
104	75	644
105	76	642
106	76	641
107	77	642
108	78	642
109	79	641
110	79	639
111	80	641
112	81	641
113	82	639
114	82	637
115	83	637
116	84	637
117	85	637
118	86	636
119	86	634
120	87	633
121	87	631
122	88	629
123	88	626
124	89	625
125	90	624
126	90	622
127	91	622
128	92	624
129	93	624
130	94	623
131	94	621
132	95	622
133	96	623
134	97	624
135	98	623
136	98	622
137	99	619
138	99	618
139	100	616
140	100	615
141	101	612
142	101	611
143	102	609
144	103	610
145	104	610
146	105	611
147	106	611
148	106	609
149	107	608
150	108	609
151	109	608
152	109	608
153	110	606
154	111	605
155	111	604
156	112	602
157	113	603
158	114	604
159	115	604
160	115	603
161	116	604
162	118	606
163	118	605
164	119	604
165	120	603
166	120	600
167	120	598
168	121	597
169	122	596
170	122	593
171	123	592
172	124	593
173	124	592
174	125	593
175	126	593
176	127	594
177	128	594
178	129	593
179	129	592
180	130	589
181	131	588
182	131	587
183	132	586
184	133	586
185	133	585
186	134	583
187	134	582
188	135	581
189	136	580
190	136	577
191	137	576
192	137	575
193	137	573
194	138	572
195	139	570
196	139	569
197	140	569
198	141	568
199	141	567
200	142	566
201	142	564
202	143	563
203	143	561
204	144	560
205	145	558
206	145	558
207	146	557
208	147	556
209	147	555
210	148	554
211	149	554
212	149	553
213	150	553
214	151	552
215	151	550
216	152	549
217	152	547
218	153	546
219	153	545
220	154	545
221	155	545
222	157	547
223	158	549
224	159	548
225	160	549
226	161	549
227	162	550
228	163	550
229	164	551
230	165	550
231	166	550
232	167	550
233	168	551
234	170	553
235	170	553
236	172	554
237	173	556
238	175	557
239	176	557
240	178	560
241	179	560
242	180	561
243	181	561
244	182	561
245	182	559
246	183	558
247	184	558
248	185	558
249	186	558
250	187	558
251	187	557
252	188	557
253	189	557
254	190	555
255	191	556
256	192	556
257	193	555
258	193	554
259	194	553
260	195	552
261	195	551
262	196	550
263	196	549
264	197	547
265	198	546
266	198	545
267	199	544
268	199	542
269	200	541
270	200	540
271	201	538
272	201	537
273	202	535
274	202	534
275	203	532
276	203	531
277	204	530
278	204	529
279	205	528
280	206	527
281	206	526
282	207	525
283	207	523
284	208	522
285	208	521
286	209	520
287	209	519
288	210	518
289	211	517
290	211	515
